Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-2,5904.36666667,3770.33333333,7741.3,4951.46666667,5996.0,5956.63333333,4761.03333333,4193.9
0-3,4169.1,6062.36666667,7333.8,6431.56666667,6007.5,5318.56666667,3993.63333333,4094.26666667
0-4,6054.36666667,6092.1,6271.76666667,5824.73333333,6027.0,4451.5,5133.43333333,3945.36666667
0-5,4081.3,4119.76666667,6436.03333333,6177.86666667,6055.86666667,6026.56666667,6188.1,3627.06666667
0-6,7904.86666667,3705.96666667,6170.76666667,5582.5,4695.26666667,4152.93333333,5971.1,3794.46666667
0-7,7662.16666667,6156.4,8167.23333333,5610.93333333,3452.4,4945.13333333,6208.96666667,4200.03333333
1-2,6052.1,4142.3,6777.96666667,7631.7,6034.8,6005.8,3497.06666667,4709.5
1-3,3812.26666667,6040.96666667,4914.2,7132.43333333,6017.5,5069.73333333,3123.4,3393.36666667
1-4,6041.4,5596.96666667,5387.63333333,6166.26666667,6003.3,4477.03333333,3714.4,3404.63333333
1-5,4052.83333333,4041.3,7583.03333333,5149.66666667,5994.53333333,5979.86666667,4232.6,5984.53333333
1-6,7337.13333333,4229.4,5405.43333333,5361.73333333,4667.63333333,4168.1,4824.33333333,6148.8
1-7,4934.83333333,5634.5,5983.56666667,6100.2,3466.53333333,4672.4,3552.1,5638.86666667
2-3,2379.76666667,2382.5,8497.36666667,9262.03333333,6096.43333333,6959.4,2402.8,2385.86666667
2-4,4488.93333333,3432.4,6214.13333333,6161.46666667,6207.6,8559.4,6158.73333333,4131.46666667
2-5,3859.5,3076.3,7486.6,6219.73333333,6165.93333333,8460.8,5370.06666667,4651.73333333
2-6,4883.3,3777.46666667,6076.03333333,4484.66666667,4738.73333333,4136.0,6118.5,6117.13333333
2-7,6036.33333333,3446.96666667,7855.9,4823.03333333,3436.93333333,5959.53333333,6099.36666667,6093.63333333
3-4,3407.56666667,4624.8,6157.63333333,5644.0,6084.23333333,7653.6,4137.53333333,4066.16666667
3-5,3063.7,4025.83333333,8591.46666667,6210.86666667,6119.36666667,7166.16666667,4109.8,3404.8
3-6,3634.0,4198.4,6102.33333333,6074.6,4731.7,3767.36666667,4141.33333333,4118.33333333
3-7,3993.33333333,4632.83333333,7280.43333333,7321.6,3459.96666667,6002.36666667,4143.96666667,4089.73333333
4-5,2374.13333333,2377.1,5695.56666667,4785.86666667,8508.66666667,9233.53333333,4128.7,2404.4
4-6,6109.43333333,3613.76666667,6057.53333333,5053.56666667,5904.9,3729.13333333,7876.23333333,4093.36666667
4-7,5386.2,6012.7,6256.23333333,5631.23333333,4232.16666667,6047.76666667,7307.2,4115.2
5-6,4108.9,3264.53333333,5655.53333333,6001.03333333,6076.06666667,4151.16666667,6854.3,5992.03333333
5-7,4105.1,4088.16666667,6422.5,6267.2,3554.56666667,5530.33333333,5202.76666667,5537.2
6-7,4173.96666667,2428.1,6142.7,3947.6,2398.26666667,2402.86666667,8581.3,9300.76666667
